case_id,event_id,activity,timestamp,resource,lifecycle_transition,loan_type,loan_amount,channel,notes
MNB-2024-08001,EVT-001-001,Application Received,2024-07-15T09:23:00,L.Martinez,complete,Conv30Fixed,385000,Retail,
MNB-2024-08001,EVT-001-002,Initial Disclosure Sent,2024-07-15T14:45:00,SYSTEM,complete,Conv30Fixed,385000,Retail,"Auto-generated LE via Encompass"
MNB-2024-08001,EVT-001-003,Credit Report Ordered,2024-07-15T14:46:00,SYSTEM,complete,Conv30Fixed,385000,Retail,"MeridianCredit integration"
MNB-2024-08001,EVT-001-004,Credit Report Received,2024-07-15T14:52:00,SYSTEM,complete,Conv30Fixed,385000,Retail,"Score: 742"
MNB-2024-08001,EVT-001-005,AUS Submission,2024-07-16T08:15:00,L.Martinez,complete,Conv30Fixed,385000,Retail,"DU submission"
MNB-2024-08001,EVT-001-006,AUS Result - Approve/Eligible,2024-07-16T08:16:00,SYSTEM,complete,Conv30Fixed,385000,Retail,
MNB-2024-08001,EVT-001-007,Assigned to Processor,2024-07-16T10:30:00,J.Whitfield,complete,Conv30Fixed,385000,Retail,"Assigned to P.Johnson"
MNB-2024-08001,EVT-001-008,Document Collection Started,2024-07-17T08:00:00,P.Johnson,start,Conv30Fixed,385000,Retail,
MNB-2024-08001,EVT-001-009,Appraisal Ordered,2024-07-17T09:15:00,P.Johnson,complete,Conv30Fixed,385000,Retail,"ValuTrac AMC"
MNB-2024-08001,EVT-001-010,Title Ordered,2024-07-17T09:20:00,P.Johnson,complete,Conv30Fixed,385000,Retail,"ServiceLink"
MNB-2024-08001,EVT-001-011,Document Collection Completed,2024-07-25T16:00:00,P.Johnson,complete,Conv30Fixed,385000,Retail,"8 calendar days for doc collection"
MNB-2024-08001,EVT-001-012,Appraisal Received,2024-07-28T11:30:00,SYSTEM,complete,Conv30Fixed,385000,Retail,"Value: $415,000"
MNB-2024-08001,EVT-001-013,Submitted to Underwriting,2024-07-29T08:45:00,P.Johnson,complete,Conv30Fixed,385000,Retail,
