vendor_id,vendor_name,service_category,contract_start,contract_end,annual_spend,criticality,risk_tier,last_due_diligence_date,next_due_diligence_date,due_diligence_status,soc_report_type,soc_report_date,primary_contact,sla_response_hours,sla_met_pct,active_issues,geographic_coverage,data_access_level
VND-001,ICE Mortgage Technology (Encompass),Loan_Origination_System,2017-04-01,2026-03-31,485000,Critical,Tier_1,2025-01-15,2026-01-15,Current,SOC2_Type_II,2024-12-15,Account_Rep_M.Torres,4,97.2,1_-_stale_doc_alert_config_pending,National,Full_borrower_PII
VND-002,ValuTrac (CoreLogic),Appraisal_Management,2019-08-01,2025-07-31,128000,Critical,Tier_1,2024-02-10,2025-02-10,OVERDUE,SOC2_Type_II,2024-09-30,Account_Rep_J.Kim,24,89.5,Appraiser_panel_gaps_in_rural_TX,National,Property_data_only
VND-003,MeridianCredit,Credit_Reporting,2020-01-15,2026-01-14,62000,Critical,Tier_1,2025-03-20,2026-03-20,Current,SOC2_Type_II,2025-01-10,Support_Desk,2,94.8,Aug_2025_bi-merge_issue_resolved,National,Borrower_credit_data
VND-004,ServiceLink,Flood_Determination,2021-06-01,2025-05-31,18500,High,Tier_2,2024-11-05,2025-11-05,Current,SOC2_Type_I,2024-08-20,Account_Rep_S.Patel,8,99.1,None,National,Property_address_only
VND-005,First American Title,Title_Services,2018-03-01,2025-02-28,215000,Critical,Tier_1,2024-06-15,2025-06-15,OVERDUE,SOC2_Type_II,2024-04-10,Branch_Mgr_TX,48,91.3,None,TX_CO_AZ,Borrower_PII_+_property
VND-006,Stewart Title,Title_Services,2019-11-01,2025-10-31,178000,High,Tier_2,2024-08-22,2025-08-22,Current,SOC2_Type_I,2024-06-15,Branch_Mgr_TX,48,93.7,None,TX_FL,Borrower_PII_+_property
VND-007,Old Republic Title,Title_Services,2022-01-15,2026-01-14,45000,Medium,Tier_2,2024-09-10,2025-09-10,Current,None_-_requested,N/A,Regional_Rep,72,88.2,SOC_report_not_provided,FL_AZ,Borrower_PII_+_property
VND-008,DocuSign,Electronic_Signatures,2020-07-01,2026-06-30,34000,High,Tier_2,2025-02-28,2026-02-28,Current,SOC2_Type_II,2025-01-15,Enterprise_Support,4,99.5,None,National,Document_content
VND-009,LexisNexis,Identity_Verification_OFAC,2019-03-15,2025-03-14,28000,Critical,Tier_1,2025-04-01,2026-04-01,Current,SOC2_Type_II,2025-02-20,Account_Rep_D.Chen,2,99.8,None,National,Borrower_PII
VND-010,The Work Number (Equifax),Employment_Verification,2021-09-01,2025-08-31,22000,Medium,Tier_2,2024-10-15,2025-10-15,Current,SOC2_Type_II,2024-07-30,Support_Portal,24,96.4,None,National,Borrower_employment_data
VND-011,Meridian Insurance Agency,Hazard_Insurance,2016-01-01,Ongoing_affiliate,0_-_affiliate,Medium,Tier_3,2024-12-01,2025-12-01,Current,N/A_-_affiliate,N/A,Agency_Director,24,95.0,None,TX,Policy_data_only
VND-012,REDACTED CPA Firm,Independent_Audit,2020-06-01,2025-05-31,75000,Medium,Tier_2,2024-04-20,2025-04-20,Current,N/A,N/A,Engagement_Partner,N/A,N/A,None,National,Full_financial_data
VND-013,MeridianServ LLC,Loan_Servicing_Sub-Servicer,2018-01-01,Ongoing_affiliate,0_-_affiliate,Critical,Tier_1,2025-01-30,2026-01-30,Current,SOC1_Type_II,2024-11-15,Servicing_Director,4,98.1,None,National,Full_borrower_PII
VND-014,REDACTED Training Provider,Compliance_Training_LMS,2022-03-01,2025-02-28,15000,Low,Tier_3,2024-05-10,2025-05-10,Current,None,N/A,Account_Manager,48,92.0,None,National,Employee_training_records
